一级类,类别名称,2021册数,2025册数,册数变化,2021占比%,2025占比%,占比变化百分点
I,文学,5981,5815,-166,17.98,19.4,1.42
B,哲学、宗教,2158,3880,1722,6.49,12.94,6.45
D,政治、法律,3426,3511,85,10.3,11.71,1.41
F,经济,4514,3165,-1349,13.57,10.56,-3.01
K,历史、地理,2699,2210,-489,8.11,7.37,-0.74
G,文化、科学、教育、体育,2887,2165,-722,8.68,7.22,-1.46
T,工业技术,4091,2159,-1932,12.3,7.2,-5.1
C,社会科学总论,1151,1446,295,3.46,4.82,1.36
J,艺术,1342,1421,79,4.03,4.74,0.71
H,语言、文字,1287,974,-313,3.87,3.25,-0.62
R,医药、卫生,654,759,105,1.97,2.53,0.56
O,数理科学和化学,658,571,-87,1.98,1.9,-0.08
Q,生物科学,417,388,-29,1.25,1.29,0.04
X,环境科学、安全科学,551,366,-185,1.66,1.22,-0.44
P,天文学、地球科学,241,331,90,0.72,1.1,0.38
A,马克思主义、列宁主义、毛泽东思想、邓小平理论,394,269,-125,1.18,0.9,-0.28
N,自然科学总论,156,202,46,0.47,0.67,0.2
Z,综合性图书,312,124,-188,0.94,0.41,-0.53
U,交通运输,58,89,31,0.17,0.3,0.13
E,军事,90,62,-28,0.27,0.21,-0.06
V,航空、航天,26,45,19,0.08,0.15,0.07
S,农业科学,167,27,-140,0.5,0.09,-0.41
